date,store,product,category,quantity,unit_price
2026-01-08,Mall,Acai Bowl,Bowls,19,9.45
2026-03-19,Airport,Protein Bar,Snacks,14,3.22
2026-05-27,Downtown,Granola Cup,Bowls,17,7.54
2026-06-02,Downtown,Banana Bread,Bakery,5,3.49
2026-01-27,Airport,Granola Cup,Bowls,2,7.23
2026-03-05,downtown,Fresh Juice,Drinks,19,4.54
2026-01-23,Mall,Granola Cup,Bowls,17,7.96
2026-06-01,University,Granola Cup,Bowls,,7.79
2026-06-12,Downtown,Energy Bites,Snacks,6,2.52
2026-05-05,Downtown,Protein Bar,Snacks,16,2.84
2026-04-02,University,Fresh Juice,Drinks,6,5.21
2026-06-03,Airport,Smoothie,Drinks,4,5.32
2026-02-09,Mall,Smoothie,Drinks,20,$5.85
2026-06-01,University,Smoothie,Drinks,3,5.98
2026-02-17,Mall,Banana Bread,Bakery,2,3.49
2026-05-05,Mall,Acai Bowl,,3,8.99
2026-02-07,Airport,Trail Mix,Snacks,17,3.92
2026-03-02,Airport,Energy Bites,Snacks,14,2.28
2026-03-13,Airport,Acai Bowl,Bowls,7,8.96
2026-05-24,Mall,Trail Mix,Snacks,,4.06
2026-04-18,Downtown,Granola Cup,Bowls,5,7.15
2026-03-27,University,Trail Mix,Snacks,8,4.49
2026-04-26,MALL,Smoothie,Drinks,19,5.81
2026-03-08,University,Granola Cup,Bowls,17,7.16
2026-06-11,University,Banana Bread,Bakery,18,3.92
2026-01-05,Downtown,Acai Bowl,Bowls,9,9.15
2026-05-01,Airport,Banana Bread,Bakery,7,3.86
2026-01-10,Mall,Granola Cup,Bowls,17,7.18
2026-03-04,Mall,Energy Bites,Snacks,9,$2.75
2026-03-24,Mall,Banana Bread,Bakery,11,3.55
2026-05-14,Downtown,Smoothie,Drinks,2,5.99
2026-04-26,University,Banana Bread,Bakery,18,3.73
2026-02-15,Downtown,Energy Bites,Snacks,10,3.02
2026-02-13,Airport,Energy Bites,Snacks,,3.13
2026-06-05,Mall,Smoothie,Drinks,4,5.49
2026-01-04,Airport,Trail Mix,Snacks,19,4.17
2026-03-01,Downtown,Acai Bowl,Bowls,9,8.96
2026-01-13,Airport,Trail Mix,Snacks,1,4.01
2026-03-08,Airport,Energy Bites,Snacks,11,2.89
2026-05-24,Downtown,Acai Bowl,Bowls,4,8.82
2026-01-26,university,Fresh Juice,Drinks,7,4.35
2026-03-09,University,Banana Bread,Bakery,20,3.42
2026-02-07,University,Energy Bites,Snacks,13,3.01
2026-06-28,Mall,Energy Bites,Snacks,13,2.61
2026-03-07,University,Granola Cup,Bowls,12,7.46
2026-02-17,University,Trail Mix,Snacks,13,4.08
2026-01-12,University,Banana Bread,Bakery,5,3.59
2026-04-01,Airport,Protein Bar,Snacks,17,3.38
2026-06-07,Downtown,Trail Mix,Snacks,16,4.29
2026-06-14,Mall,Granola Cup,Bowls,3,7.73
2026-02-20,Downtown,Fresh Juice,Drinks,12,4.45
2026-03-13,Downtown,Protein Bar,Snacks,20,3.23
2026-05-03,University,Protein Bar,Snacks,19,3.69
2026-03-22,Mall,Smoothie,Drinks,11,5.86
2026-01-15,University,Granola Cup,Bowls,5,7.28
